mileage,make,model,fuel,gear,offerType,price,hp,year
11800,Skoda,Scala,Gasoline,Automatic,Demonstration,19780,150,2019
50,Mercedes-Benz,E 220,Diesel,Automatic,Pre-registered,55950,194,2021
41149,Mercedes-Benz,A 200,Gasoline,Automatic,Used,22750,156,2016
2500,Renault,Twingo,Gasoline,Manual,Demonstration,9990,73,2020
64100,Ford,B-Max,Gasoline,Manual,Used,11500,125,2017
40206,Volkswagen,Golf Plus,Gasoline,Manual,Used,8000,122,2013
4290,BMW,420,Gasoline,Automatic,Used,32950,184,2020
91000,Dacia,Lodgy,Diesel,Manual,Used,6800,107,2012
28500,Audi,A3,Gasoline,Manual,Used,15200,140,2014
200000,Skoda,Superb,Diesel,Automatic,Used,11200,140,2012
176000,Suzuki,Swift,Diesel,Manual,Used,4200,75,2011
21162,Volkswagen,Polo,Gasoline,Manual,Used,10794,75,2016
32000,smart,forTwo,Electric,,Used,8200,48,2015
79785,Volkswagen,Golf,Gasoline,Automatic,Used,21890,179,2018
50200,Hyundai,i20,Gasoline,Manual,Used,9450,75,2019
241000,Audi,A3,Gasoline,Manual,Used,4500,125,2011
134602,Opel,Astra,Diesel,Manual,Used,7750,136,2016
11990,MINI,John Cooper Works,Gasoline,Automatic,Used,36940,231,2020
10,Fiat,Panda,Gasoline,Manual,Pre-registered,9220,69,2020
58747,Opel,Astra,Diesel,Manual,Used,12580,110,2019
105778,Opel,Astra,Gasoline,Manual,Used,8300,140,2013
102442,Hyundai,i30,Diesel,Manual,Used,10950,110,2016
26011,smart,forFour,Gasoline,Automatic,Used,13250,90,2019
12300,Ford,C-Max,Gasoline,Manual,Used,20990,150,2019
10,Dacia,Duster,LPG,Manual,Pre-registered,16350,101,2021
166825,Dodge,RAM,LPG,Automatic,Used,34999,401,2015
23200,Volkswagen,up!,Gasoline,Manual,Used,10790,60,2019
136400,Volkswagen,Arteon,Diesel,Automatic,Used,28500,239,2018
81104,Jaguar,XF,Diesel,Automatic,Used,29975,300,2018
2264,Ford,Fiesta,Gasoline,Manual,Employee's car,21450,155,2020
5870,Fiat,500C,Gasoline,Manual,Used,11980,69,2019
46328,Toyota,Auris,Gasoline,Manual,Used,9990,132,2013
64500,Mercedes-Benz,SL 500,Gasoline,Automatic,Used,56950,435,2014
168055,Ford,C-Max,Gasoline,Manual,Used,5950,105,2012
29830,Ford,Fiesta,Gasoline,Manual,Used,9500,60,2017
76108,Volkswagen,,Diesel,Manual,Used,26900,102,2016
125343,Mercedes-Benz,,Electric/Gasoline,Automatic,Used,29990,211,2017
215334,Opel,Insignia,Diesel,Manual,Used,6880,120,2016
94217,Volkswagen,Sharan,Diesel,Manual,Used,21400,184,2017
18950,Fiat,500C,Gasoline,Manual,Used,9890,86,2016
17061,smart,forTwo,Electric,Automatic,Used,12678,56,2019
134000,Skoda,Octavia,Diesel,Automatic,Used,11980,150,2013
10,Citroen,C1,Gasoline,Manual,Pre-registered,11349,72,2021
4000,Renault,Twingo,Gasoline,Manual,Demonstration,12260,65,2021
81700,Volkswagen,Tiguan,Diesel,Automatic,Used,19380,150,2017
129000,Opel,Zafira,Diesel,Manual,Used,6000,110,2012
34138,BMW,118,Gasoline,Automatic,Used,14950,136,2015
51826,Volkswagen,Golf Variant,Diesel,Automatic,Used,17450,116,2019
50142,Hyundai,i10,Gasoline,Manual,Used,7490,87,2015
57000,Renault,Clio,Gasoline,Manual,Used,7400,73,2015
96000,Audi,A3,Gasoline,Manual,Used,9999,105,2012
13756,Nissan,Micra,Gasoline,Manual,Used,13480,71,2019
74000,Renault,Megane,Diesel,Manual,Used,8480,110,2015
22300,Alfa,Romeo Stelvio,Gasoline,Automatic,Used,36450,280,2018
124000,BMW,120,Diesel,Manual,Used,9999,184,2013
4120,Mercedes-Benz,C 200,Gasoline,Automatic,Demonstration,39670,184,2021
33000,Fiat,500C,Gasoline,Manual,Used,9000,69,2014
85095,Volkswagen,Golf Variant,Gasoline,Manual,Used,13970,125,2015
25000,Mercedes-Benz,GLA 180,Gasoline,Manual,Used,22880,122,2020
39998,SEAT,Mii,Gasoline,Manual,Used,6443,60,2017
27351,Skoda,Superb,Diesel,Automatic,Used,28969,190,2020
20000,Ford,Fiesta,Gasoline,Manual,Used,8995,71,2019
39851,Volkswagen,Touran,Gasoline,Automatic,Used,22449,150,2019
56000,Volkswagen,up!,Gasoline,Manual,Used,6450,60,2016
